,State,District,Crop,Area (Hectare),TotalDistrictArea,TopTwoCropArea,TopTwoCropAreaPercent
0,Bihar, ARARIA,Moong(Green Gram),1724.0,3906.0,3178.0,0.8136200716845878
1,Bihar, ARARIA,Horse-gram,1454.0,3906.0,3178.0,0.8136200716845878
2,Bihar, ARWAL,Arhar/Tur,451.0,642.0,509.0,0.7928348909657321
3,Bihar, ARWAL,Sesamum,58.0,642.0,509.0,0.7928348909657321
4,Bihar, AURANGABAD,Sugarcane,895.0,1310.0,1296.0,0.9893129770992366
5,Bihar, AURANGABAD,Arhar/Tur,401.0,1310.0,1296.0,0.9893129770992366
6,Bihar, BANKA,Sugarcane,3256.0,5532.0,4043.0,0.7308387563268257
7,Bihar, BANKA,Horse-gram,787.0,5532.0,4043.0,0.7308387563268257
8,Bihar, BEGUSARAI,Sugarcane,6256.0,8461.0,7197.0,0.8506086750975062
9,Bihar, BEGUSARAI,Urad,941.0,8461.0,7197.0,0.8506086750975062
10,Bihar, BHAGALPUR,Sugarcane,6607.0,12372.0,9378.0,0.7580019398642095
11,Bihar, BHAGALPUR,Urad,2771.0,12372.0,9378.0,0.7580019398642095
12,Bihar, BHOJPUR,Arhar/Tur,1632.0,4724.0,2970.0,0.6287044877222693
13,Bihar, BHOJPUR,Bajra,1338.0,4724.0,2970.0,0.6287044877222693
14,Bihar, BUXAR,Bajra,3371.0,5991.0,5021.0,0.8380904690368887
15,Bihar, BUXAR,Jowar,1650.0,5991.0,5021.0,0.8380904690368887
16,Bihar, DARBHANGA,Sugarcane,1443.0,2562.0,2162.0,0.843871975019516
17,Bihar, DARBHANGA,Ragi,719.0,2562.0,2162.0,0.843871975019516
18,Bihar, GAYA,Arhar/Tur,1040.0,4570.0,1940.0,0.424507658643326
19,Bihar, GAYA,Small millets,900.0,4570.0,1940.0,0.424507658643326
20,Bihar, GOPALGANJ,Sugarcane,30872.0,32722.0,31952.0,0.9764684310249985
21,Bihar, GOPALGANJ,Arhar/Tur,1080.0,32722.0,31952.0,0.9764684310249985
22,Bihar, JAMUI,Sugarcane,2390.0,3125.0,2997.0,0.95904
23,Bihar, JAMUI,Horse-gram,607.0,3125.0,2997.0,0.95904
24,Bihar, JEHANABAD,Sugarcane,202.0,418.0,347.0,0.8301435406698564
25,Bihar, JEHANABAD,Arhar/Tur,145.0,418.0,347.0,0.8301435406698564
26,Bihar, KAIMUR BHABUA,Arhar/Tur,1937.0,2298.0,2254.0,0.9808529155787642
27,Bihar, KAIMUR BHABUA,Sugarcane,317.0,2298.0,2254.0,0.9808529155787642
28,Bihar, KATIHAR,Urad,3395.0,6060.0,5322.0,0.8782178217821782
29,Bihar, KATIHAR,Small millets,1927.0,6060.0,5322.0,0.8782178217821782
30,Bihar, KHAGARIA,Urad,2798.0,4633.0,3690.0,0.7964601769911505
31,Bihar, KHAGARIA,Small millets,892.0,4633.0,3690.0,0.7964601769911505
32,Bihar, KISHANGANJ,Moong(Green Gram),788.0,2167.0,1366.0,0.6303645592985695
33,Bihar, KISHANGANJ,Horse-gram,578.0,2167.0,1366.0,0.6303645592985695
34,Bihar, LAKHISARAI,Arhar/Tur,377.0,478.0,437.0,0.9142259414225942
35,Bihar, LAKHISARAI,Sugarcane,60.0,478.0,437.0,0.9142259414225942
36,Bihar, MADHEPURA,Sugarcane,5060.0,6957.0,5758.0,0.8276555986775909
37,Bihar, MADHEPURA,Urad,698.0,6957.0,5758.0,0.8276555986775909
38,Bihar, MADHUBANI,Ragi,2287.0,4411.0,3328.0,0.7544774427567446
39,Bihar, MADHUBANI,Urad,1041.0,4411.0,3328.0,0.7544774427567446
40,Bihar, MUNGER,Horse-gram,409.0,1207.0,675.0,0.5592377796188898
41,Bihar, MUNGER,Sugarcane,266.0,1207.0,675.0,0.5592377796188898
42,Bihar, MUZAFFARPUR,Sugarcane,4952.0,8032.0,6834.0,0.8508466135458167
43,Bihar, MUZAFFARPUR,Arhar/Tur,1882.0,8032.0,6834.0,0.8508466135458167
44,Bihar, NALANDA,Moong(Green Gram),395.0,967.0,687.0,0.7104446742502585
45,Bihar, NALANDA,Arhar/Tur,292.0,967.0,687.0,0.7104446742502585
46,Bihar, NAWADA,Arhar/Tur,1319.0,3381.0,1992.0,0.5891748003549245
47,Bihar, NAWADA,Sugarcane,673.0,3381.0,1992.0,0.5891748003549245
48,Bihar, PASHCHIM CHAMPARAN,Sugarcane,125208.0,130227.0,129719.0,0.9960991192302672
49,Bihar, PASHCHIM CHAMPARAN,Arhar/Tur,4511.0,130227.0,129719.0,0.9960991192302672
50,Bihar, PATNA,Sugarcane,1865.0,2725.0,2713.0,0.9955963302752293
51,Bihar, PATNA,Arhar/Tur,848.0,2725.0,2713.0,0.9955963302752293
52,Bihar, PURBI CHAMPARAN,Sugarcane,16264.0,18891.0,17833.0,0.9439944947329416
53,Bihar, PURBI CHAMPARAN,Arhar/Tur,1569.0,18891.0,17833.0,0.9439944947329416
54,Bihar, PURNIA,Moong(Green Gram),812.0,2044.0,1283.0,0.6276908023483366
55,Bihar, PURNIA,Sugarcane,471.0,2044.0,1283.0,0.6276908023483366
56,Bihar, ROHTAS,Sugarcane,1027.0,1885.0,1523.0,0.8079575596816976
57,Bihar, ROHTAS,Arhar/Tur,496.0,1885.0,1523.0,0.8079575596816976
58,Bihar, SAHARSA,Ragi,874.0,1615.0,1529.0,0.9467492260061919
59,Bihar, SAHARSA,Horse-gram,655.0,1615.0,1529.0,0.9467492260061919
60,Bihar, SAMASTIPUR,Sugarcane,4980.0,11294.0,8248.0,0.7302992739507703
61,Bihar, SAMASTIPUR,Tobacco,3268.0,11294.0,8248.0,0.7302992739507703
62,Bihar, SARAN,Sugarcane,3566.0,4774.0,4297.0,0.9000837871805614
63,Bihar, SARAN,Arhar/Tur,731.0,4774.0,4297.0,0.9000837871805614
64,Bihar, SHEIKHPURA,Sugarcane,739.0,973.0,971.0,0.9979445015416238
65,Bihar, SHEIKHPURA,Arhar/Tur,232.0,973.0,971.0,0.9979445015416238
66,Bihar, SHEOHAR,Sugarcane,3383.0,3841.0,3538.0,0.9211142931528248
67,Bihar, SHEOHAR,Sesamum,155.0,3841.0,3538.0,0.9211142931528248
68,Bihar, SITAMARHI,Sugarcane,21590.0,23216.0,22355.0,0.9629135079255686
69,Bihar, SITAMARHI,Ragi,765.0,23216.0,22355.0,0.9629135079255686
70,Bihar, SIWAN,Sugarcane,5778.0,8233.0,6961.0,0.8454998178063889
71,Bihar, SIWAN,Arhar/Tur,1183.0,8233.0,6961.0,0.8454998178063889
72,Bihar, SUPAUL,Ragi,1427.0,4741.0,2714.0,0.5724530689727906
73,Bihar, SUPAUL,Horse-gram,1287.0,4741.0,2714.0,0.5724530689727906
74,Bihar, VAISHALI,Tobacco,4748.0,6368.0,5461.0,0.8575690954773869
75,Bihar, VAISHALI,Arhar/Tur,713.0,6368.0,5461.0,0.8575690954773869
76,Chhattisgarh, BASTAR,Rice,239376.0,311399.0,259618.0,0.8337149444924358
77,Chhattisgarh, BASTAR,Maize,20242.0,311399.0,259618.0,0.8337149444924358
78,Chhattisgarh, BIJAPUR,Rice,59639.0,63126.0,60341.0,0.9558818870196115
79,Chhattisgarh, BIJAPUR,Maize,702.0,63126.0,60341.0,0.9558818870196115
