,State,District,Crop,Season,Area (Hectare),TotalDistrictArea,TopTwoCropAreaPercent
0,Bihar, ARARIA,Moong(Green Gram),Kharif     ,1724.0,3906.0,0.44137224782386075
1,Bihar, ARARIA,Horse-gram,Kharif     ,1454.0,3906.0,0.3722478238607271
2,Bihar, ARWAL,Arhar/Tur,Kharif     ,451.0,642.0,0.7024922118380063
3,Bihar, ARWAL,Sesamum,Kharif     ,58.0,642.0,0.09034267912772585
4,Bihar, AURANGABAD,Sugarcane,Whole Year ,895.0,1310.0,0.683206106870229
5,Bihar, AURANGABAD,Arhar/Tur,Kharif     ,401.0,1310.0,0.3061068702290076
6,Bihar, BANKA,Sugarcane,Whole Year ,3256.0,5532.0,0.5885755603759942
7,Bihar, BANKA,Horse-gram,Kharif     ,787.0,5532.0,0.14226319595083153
8,Bihar, BEGUSARAI,Sugarcane,Whole Year ,6256.0,8461.0,0.739392506795887
9,Bihar, BEGUSARAI,Urad,Kharif     ,941.0,8461.0,0.11121616830161919
10,Bihar, BHAGALPUR,Sugarcane,Whole Year ,6607.0,12372.0,0.5340284513417394
11,Bihar, BHAGALPUR,Urad,Kharif     ,2771.0,12372.0,0.2239734885224701
12,Bihar, BHOJPUR,Arhar/Tur,Kharif     ,1632.0,4724.0,0.3454699407281964
13,Bihar, BHOJPUR,Bajra,Kharif     ,1338.0,4724.0,0.2832345469940728
14,Bihar, BUXAR,Bajra,Kharif     ,3371.0,5991.0,0.5626773493573693
15,Bihar, BUXAR,Jowar,Kharif     ,1650.0,5991.0,0.27541311967951926
16,Bihar, DARBHANGA,Sugarcane,Whole Year ,1443.0,2562.0,0.563231850117096
17,Bihar, DARBHANGA,Ragi,Kharif     ,719.0,2562.0,0.28064012490241996
18,Bihar, GAYA,Arhar/Tur,Kharif     ,1040.0,4570.0,0.2275711159737418
19,Bihar, GAYA,Small millets,Kharif     ,900.0,4570.0,0.19693654266958424
20,Bihar, GOPALGANJ,Sugarcane,Whole Year ,30872.0,32722.0,0.9434631135016197
21,Bihar, GOPALGANJ,Arhar/Tur,Kharif     ,1080.0,32722.0,0.03300531752337876
22,Bihar, JAMUI,Sugarcane,Whole Year ,2390.0,3125.0,0.7648
23,Bihar, JAMUI,Horse-gram,Kharif     ,607.0,3125.0,0.19424
24,Bihar, JEHANABAD,Sugarcane,Whole Year ,202.0,418.0,0.48325358851674644
25,Bihar, JEHANABAD,Arhar/Tur,Kharif     ,145.0,418.0,0.34688995215311
26,Bihar, KAIMUR BHABUA,Arhar/Tur,Kharif     ,1937.0,2298.0,0.8429068755439513
27,Bihar, KAIMUR BHABUA,Sugarcane,Whole Year ,317.0,2298.0,0.1379460400348129
28,Bihar, KATIHAR,Urad,Kharif     ,3395.0,6060.0,0.5602310231023102
29,Bihar, KATIHAR,Small millets,Kharif     ,1927.0,6060.0,0.317986798679868
30,Bihar, KHAGARIA,Urad,Kharif     ,2798.0,4633.0,0.6039283401683574
31,Bihar, KHAGARIA,Small millets,Kharif     ,892.0,4633.0,0.192531836822793
32,Bihar, KISHANGANJ,Moong(Green Gram),Kharif     ,788.0,2167.0,0.36363636363636365
33,Bihar, KISHANGANJ,Horse-gram,Kharif     ,578.0,2167.0,0.2667281956622058
34,Bihar, LAKHISARAI,Arhar/Tur,Kharif     ,377.0,478.0,0.7887029288702929
35,Bihar, LAKHISARAI,Sugarcane,Whole Year ,60.0,478.0,0.12552301255230125
36,Bihar, MADHEPURA,Sugarcane,Whole Year ,5060.0,6957.0,0.7273249964064971
37,Bihar, MADHEPURA,Urad,Kharif     ,698.0,6957.0,0.10033060227109386
38,Bihar, MADHUBANI,Ragi,Kharif     ,2287.0,4411.0,0.518476535932895
39,Bihar, MADHUBANI,Urad,Kharif     ,1041.0,4411.0,0.23600090682384947
40,Bihar, MUNGER,Horse-gram,Kharif     ,409.0,1207.0,0.3388566694283347
41,Bihar, MUNGER,Sugarcane,Whole Year ,266.0,1207.0,0.2203811101905551
42,Bihar, MUZAFFARPUR,Sugarcane,Whole Year ,4952.0,8032.0,0.6165338645418327
43,Bihar, MUZAFFARPUR,Arhar/Tur,Kharif     ,1882.0,8032.0,0.23431274900398405
44,Bihar, NALANDA,Moong(Green Gram),Kharif     ,395.0,967.0,0.40847983453981385
45,Bihar, NALANDA,Arhar/Tur,Kharif     ,292.0,967.0,0.3019648397104447
46,Bihar, NAWADA,Arhar/Tur,Kharif     ,1319.0,3381.0,0.39012126589766344
47,Bihar, NAWADA,Sugarcane,Whole Year ,673.0,3381.0,0.19905353445726118
48,Bihar, PASHCHIM CHAMPARAN,Sugarcane,Whole Year ,125208.0,130227.0,0.9614596051510056
49,Bihar, PASHCHIM CHAMPARAN,Arhar/Tur,Kharif     ,4511.0,130227.0,0.0346395140792616
50,Bihar, PATNA,Sugarcane,Whole Year ,1865.0,2725.0,0.6844036697247706
51,Bihar, PATNA,Arhar/Tur,Kharif     ,848.0,2725.0,0.3111926605504587
52,Bihar, PURBI CHAMPARAN,Sugarcane,Whole Year ,16264.0,18891.0,0.8609390715155365
53,Bihar, PURBI CHAMPARAN,Arhar/Tur,Kharif     ,1569.0,18891.0,0.08305542321740511
54,Bihar, PURNIA,Moong(Green Gram),Kharif     ,812.0,2044.0,0.3972602739726027
55,Bihar, PURNIA,Sugarcane,Whole Year ,471.0,2044.0,0.23043052837573386
56,Bihar, ROHTAS,Sugarcane,Whole Year ,1027.0,1885.0,0.5448275862068965
57,Bihar, ROHTAS,Arhar/Tur,Kharif     ,496.0,1885.0,0.26312997347480105
58,Bihar, SAHARSA,Ragi,Kharif     ,874.0,1615.0,0.5411764705882353
59,Bihar, SAHARSA,Horse-gram,Kharif     ,655.0,1615.0,0.4055727554179567
60,Bihar, SAMASTIPUR,Sugarcane,Whole Year ,4980.0,11294.0,0.4409420931468036
61,Bihar, SAMASTIPUR,Tobacco,Whole Year ,3268.0,11294.0,0.2893571808039667
62,Bihar, SARAN,Sugarcane,Whole Year ,3566.0,4774.0,0.7469627147046501
63,Bihar, SARAN,Arhar/Tur,Kharif     ,731.0,4774.0,0.1531210724759112
64,Bihar, SHEIKHPURA,Sugarcane,Whole Year ,739.0,973.0,0.7595066803699897
65,Bihar, SHEIKHPURA,Arhar/Tur,Kharif     ,232.0,973.0,0.23843782117163412
66,Bihar, SHEOHAR,Sugarcane,Whole Year ,3383.0,3841.0,0.8807602186930487
67,Bihar, SHEOHAR,Sesamum,Kharif     ,155.0,3841.0,0.0403540744597761
68,Bihar, SITAMARHI,Sugarcane,Whole Year ,21590.0,23216.0,0.9299620951068229
69,Bihar, SITAMARHI,Ragi,Kharif     ,765.0,23216.0,0.032951412818745696
70,Bihar, SIWAN,Sugarcane,Whole Year ,5778.0,8233.0,0.7018097898700352
71,Bihar, SIWAN,Arhar/Tur,Kharif     ,1183.0,8233.0,0.1436900279363537
72,Bihar, SUPAUL,Ragi,Kharif     ,1427.0,4741.0,0.3009913520354356
