,State,District,Crop,Season,Area (Hectare),TotalDistrictArea,TopTwoCropAreaPercent
0,Bihar, ARARIA,Maize,Rabi       ,26319.0,53293.0,0.49385472763777605
1,Bihar, ARARIA,Wheat,Rabi       ,25989.0,53293.0,0.4876625447995046
2,Bihar, ARWAL,Wheat,Rabi       ,12779.0,19622.0,0.6512587911527877
3,Bihar, ARWAL,Masoor,Rabi       ,4100.0,19622.0,0.20894913872184284
4,Bihar, AURANGABAD,Wheat,Rabi       ,66772.0,103843.0,0.6430091580559113
5,Bihar, AURANGABAD,Masoor,Rabi       ,13423.0,103843.0,0.12926244426682587
6,Bihar, BANKA,Wheat,Rabi       ,24810.0,32447.0,0.7646315529941135
7,Bihar, BANKA,Sugarcane,Whole Year ,2589.0,32447.0,0.07979166024593953
8,Bihar, BEGUSARAI,Wheat,Rabi       ,60600.0,89424.0,0.6776704240472357
9,Bihar, BEGUSARAI,Maize,Rabi       ,23643.0,89424.0,0.26439210950080516
10,Bihar, BHAGALPUR,Wheat,Rabi       ,46229.0,81489.0,0.5673035624440108
11,Bihar, BHAGALPUR,Maize,Rabi       ,18264.0,81489.0,0.22412840996944372
12,Bihar, BHOJPUR,Wheat,Rabi       ,74450.0,95306.0,0.7811680271966088
13,Bihar, BHOJPUR,Masoor,Rabi       ,9915.0,95306.0,0.10403332423981701
14,Bihar, BUXAR,Wheat,Rabi       ,90524.0,101123.0,0.8951870494348467
15,Bihar, BUXAR,Masoor,Rabi       ,3261.0,101123.0,0.032247856570710914
16,Bihar, DARBHANGA,Wheat,Rabi       ,59348.0,77072.0,0.7700332156944156
17,Bihar, DARBHANGA,Maize,Rabi       ,12595.0,77072.0,0.16341862154868175
18,Bihar, GAYA,Wheat,Rabi       ,71071.0,85021.0,0.8359228896390304
19,Bihar, GAYA,Masoor,Rabi       ,6720.0,85021.0,0.07903929617388646
20,Bihar, GOPALGANJ,Wheat,Rabi       ,76752.0,105355.0,0.7285083764415548
21,Bihar, GOPALGANJ,Sugarcane,Whole Year ,23675.0,105355.0,0.22471643491054055
22,Bihar, JAMUI,Wheat,Rabi       ,52120.0,62509.0,0.8337999328096755
23,Bihar, JAMUI,Gram,Rabi       ,4316.0,62509.0,0.06904605736773904
24,Bihar, JEHANABAD,Wheat,Rabi       ,23385.0,38937.0,0.6005855612913168
